preset,freq_hz,magnitude_db,phase_deg,group_delay_samples
flat,49.4739304,0.000000000,0.000000000,-0.000000000
flat,50.1472626,0.000000000,0.000000000,-0.000000000
flat,50.8297615,0.000000000,0.000000000,-0.000000000
flat,51.5215492,0.000000000,0.000000000,-0.000000000
flat,52.2227516,0.000000000,0.000000000,-0.000000000
flat,52.9334946,0.000000000,0.000000000,-0.000000000
flat,53.6539154,0.000000000,0.000000000,-0.000000000
flat,54.3841362,0.000000000,0.000000000,-0.000000000
flat,55.1242981,0.000000000,0.000000000,-0.000000000
flat,55.8745461,0.000000000,0.000000000,-0.000000000
flat,56.6349792,0.000000000,0.000000000,-0.000000000
flat,57.4057884,0.000000000,0.000000000,-0.000000000
flat,58.1870613,0.000000000,0.000000000,-0.000000000
flat,58.9789925,0.000000000,0.000000000,-0.000000000
flat,59.7816772,0.000000000,0.000000000,-0.000000000
flat,60.5953102,0.000000000,0.000000000,-0.000000000
flat,61.4200211,0.000000000,0.000000000,-0.000000000
flat,62.2559242,0.000000000,0.000000000,-0.000000000
flat,63.1032066,0.000000000,0.000000000,-0.000000000
flat,63.9620476,0.000000000,0.000000000,-0.000000000
flat,64.8325806,0.000000000,0.000000000,-0.000000000
flat,65.7149277,0.000000000,0.000000000,-0.000000000
flat,66.609314,0.000000000,0.000000000,-0.000000000
flat,67.5158463,0.000000000,0.000000000,-0.000000000
flat,68.4347458,0.000000000,0.000000000,-0.000000000
flat,69.3661118,0.000000000,0.000000000,-0.000000000
flat,70.3101959,0.000000000,0.000000000,-0.000000000
flat,71.2670898,0.000000000,0.000000000,-0.000000000
flat,72.2370453,0.000000000,0.000000000,-0.000000000
flat,73.2201996,0.000000000,0.000000000,-0.000000000
flat,74.2166977,0.000000000,0.000000000,-0.000000000
flat,75.2267609,0.000000000,0.000000000,-0.000000000
flat,76.2506104,0.000000000,0.000000000,-0.000000000
flat,77.2883911,0.000000000,0.000000000,-0.000000000
flat,78.3402557,0.000000000,0.000000000,-0.000000000
flat,79.4064331,0.000000000,0.000000000,-0.000000000
flat,80.4871674,0.000000000,0.000000000,-0.000000000
flat,81.5826111,0.000000000,0.000000000,-0.000000000
flat,82.6929169,0.000000000,0.000000000,-0.000000000
flat,83.8183746,0.000000000,0.000000000,-0.000000000
flat,84.9591141,0.000000000,0.000000000,-0.000000000
flat,86.1154175,0.000000000,0.000000000,-0.000000000
flat,87.2874222,0.000000000,0.000000000,-0.000000000
flat,88.4754105,0.000000000,0.000000000,-0.000000000
flat,89.6795273,0.000000000,0.000000000,-0.000000000
flat,90.9000778,0.000000000,0.000000000,-0.000000000
flat,92.1372375,0.000000000,0.000000000,-0.000000000
flat,93.3911896,0.000000000,0.000000000,-0.000000000
flat,94.6622162,0.000000000,0.000000000,-0.000000000
flat,95.9505768,0.000000000,0.000000000,-0.000000000
flat,97.2564774,0.000000000,0.000000000,-0.000000000
flat,98.580101,0.000000000,0.000000000,-0.000000000
flat,99.9217911,0.000000000,0.000000000,-0.000000000
flat,101.281685,0.000000000,0.000000000,-0.000000000
flat,102.660141,0.000000000,0.000000000,-0.000000000
flat,104.057312,0.000000000,0.000000000,-0.000000000
flat,105.473541,0.000000000,0.000000000,-0.000000000
flat,106.908997,0.000000000,0.000000000,-0.000000000
flat,108.364044,0.000000000,0.000000000,-0.000000000
flat,109.83889,0.000000000,0.000000000,-0.000000000
flat,111.333755,0.000000000,0.000000000,-0.000000000
flat,112.848969,0.000000000,0.000000000,-0.000000000
flat,114.384857,0.000000000,0.000000000,-0.000000000
flat,115.94165,0.000000000,0.000000000,-0.000000000
flat,117.519577,0.000000000,0.000000000,-0.000000000
flat,119.119026,0.000000000,0.000000000,-0.000000000
flat,120.740196,0.000000000,0.000000000,-0.000000000
flat,122.383484,0.000000000,0.000000000,-0.000000000
flat,124.04908,0.000000000,0.000000000,-0.000000000
flat,125.737404,0.000000000,0.000000000,-0.000000000
flat,127.448639,0.000000000,0.000000000,-0.000000000
flat,129.183228,0.000000000,0.000000000,-0.000000000
flat,130.941437,0.000000000,0.000000000,-0.000000000
